text,id,from_user,iso_language_code
Boston bombing 'used pressure cooker packed with metal': Clues emerge from forensic examination of bomb... http://t.co/lOWisLxZRr tg #US,324320247018573824,USRealityCheck,en
"Boston bombing 'used pressure cooker packed with metal': Clues emerge from forensic examination of bomb site, ... http://t.co/b34QDGqOO9",324327405743382529,mikidetlic,en
"Boston bombing 'used pressure cooker packed with metal': Clues emerge from forensic examination of bomb site, ... http://t.co/4055D0gJGd",324327410344542208,opedja3,en
For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324346553835868161,SiR_XMaN,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324348252763873283,MyDailyMusing,en
"If you are trying to defeat the human spirit, #marathoners are the wrong group to target! @bostonmarathon",324358798179459073,alihelmy,en
"If you are trying to defeat the human spirit, marathoneers are the wrong group to target #bostonmarathon",324366333829586945,AntonioBorja,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324368024561909760,VinRock28,en
RT @TPNNtweets: Obama Regime Cut Spending for Domestic Bombing Prevention by 45% http://t.co/PsXj0WvFOG  #BostonMarathon #BostonBombings,324372750330363904,TheTeaParty_net,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324351038741901865,DTAD,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324326736198238763,MikeAndTheMouse,en
"RT @mikandynothem: If you are trying to defeat the human spirit, Marathoners are the WRONG GROUP to target! #bostonmarathon #tcot #tgdn",324375472681148416,BenSteg,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324334932112843721,MiaHudsonKC,en
"RT @mikandynothem: If you are trying to defeat the human spirit, Marathoners are the WRONG GROUP to target! #bostonmarathon #tcot #tgdn",324376801382133761,MomRoadWarrior,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324310958418232934,shegotgame,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324354128398432734,Lexi_iloveeyhuu,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324337983412847463,Jessiebailin,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324373063433847463,gregstandifer,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324382984012350293,harrycherrypie,en
RT @TPNNtweets: Obama Regime Cut Spending for Domestic Bombing Prevention by 45% http://t.co/PsXj0WvFOG  #BostonMarathon #BostonBombings,324380629779247106,LadyMaroon,en
RT @SiRHaPo: For every retweet we receive we will donate $1 to the #BostonMarathon victims #PrayForBoston @_BostonMarathon,324326985423982395,the_secondreich,en
FBI releases new details on Boston Marathon bombs http://t.co/CdUaWbXC4d #news,324408472441585664,onestopnews,en
"FBI releases new details on Boston Marathon bombs: 
    
 http://t.co/WRM4e5Mx6P",324408861563944960,localhost36,en
"FBI releases new details on Boston Marathon bombs: 
    
 http://t.co/4SAdjzDrV2",324409861041438720,RosalieHumphre8,en
"FBI releases new details on Boston Marathon bombs: 
    
 http://t.co/8Yp0pyzRgB",324409871061618689,koketoh_Starz,en
RT @TPNNtweets: Obama Regime Cut Spending for Domestic Bombing Prevention by 45% http://t.co/PsXj0WvFOG  #BostonMarathon #BostonBombings,324418112688623616,jeremykaps,en
".@mikandynothem: If you are trying to defeat the human spirit, Marathoners are the WRONG GROUP to target! #bostonmarathon #tcot #tgdn",324419757661097984,cgpb,en
RT @cnnbrk: One of the 3 killed in Boston explosions was a grad student from China. She was studying statistics at Boston U. http://t.co/xIYtsHHh3j,324422817565257728,wex_09,en
RT @cnnbrk: One of the 3 killed in Boston explosions was a grad student from China. She was studying statistics at Boston U. http://t.co/xIYtsHHh3j,324423146381901825,jayshamirpablo,en
RT @cnnbrk: One of the 3 killed in Boston explosions was a grad student from China. She was studying statistics at Boston U. http://t.co/xIYtsHHh3j,324423157106749441,VonsReign,en
RT @cnnbrk: One of the 3 killed in Boston explosions was a grad student from China. She was studying statistics at Boston U. http://t.co/xIYtsHHh3j,324423160525103105,ShellzJackson,en
RT @cnnbrk: One of the 3 killed in Boston explosions was a grad student from China. She was studying statistics at Boston U. http://t.co/xIYtsHHh3j,324423494098120705,KathlineAgustin,en
RT @cnnbrk: One of the 3 killed in Boston explosions was a grad student from China. She was studying statistics at Boston U. http://t.co/xIYtsHHh3j,324423506957852672,diyyinah,en
Boston marathon bombs 'used pressure cooker packed with metal': Clues emerge from forensic examinatio of bomb... http://t.co/vcYE7tqtaU #Playboy,324423829088784384,PlayboyVnzla,en
Boston marathon bombs 'used pressure cooker packed with metal': Clues emerge from forensic examination of bomb... http://t.co/CYn39QoUYs,324425542629732352,PC011011,en
"RT @guardian: Boston marathon bombs 'used pressure cooker packed with metal' Clues emerge from forensic examination of bomb site, http://t.co/DVZZxTSUKq #BostonMarathon",324427314060484608,yvepain,en
"RT @guardian: Boston marathon bombs 'used pressure cooker packed with metal' Clues emerge from forensic examination of bomb site, http://t.co/DVZZxTSUKq #BostonMarathon",324427596253253633,chantelthompso2,en
"RT @guardian: Boston marathon bombs 'used pressure cooker packed with metal' Clues emerge from forensic examination of bomb site, http://t.co/DVZZxTSUKq #BostonMarathon",324427930631544832,erichewits,en
"RT @guardian: Boston marathon bombs 'used pressure cooker packed with metal' Clues emerge from forensic examination of bomb site, http://t.co/DVZZxTSUKq #BostonMarathon",324428255794978816,ICSRblog,en
FBI releases new details on #Boston Marathon bombs - http://t.co/5DabhNx3HE  #news,324432383115935744,PacePerMile,en
"FBI releases new details on Boston Marathon bombs: Within a day of the Oklahoma City bombing, officials had named... http://t.co/ZBgU8MG83K",324437436077854721,okc_news,en
"FBI releases new details on Boston Marathon bombs: Within a day of the Oklahoma City bombing, officials had named... http://t.co/MvoALNvMDW",324438127102013440,BreakingABQNews,en
FBI releases new details on Boston Marathon bombs http://t.co/oGoJ8El14I,324439166496690176,WISN12News,en
FBI releases new details on Boston Marathon bombs http://t.co/kppM8TbRHj #Pittsburgh,324439832715747328,PghNewsBum,en
